,Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,rsi,ma,trend
10,1611804840,31046.83,31110.01,31045.01,31102.1,6.48939876,201802.5384,31097.26275,27.497800758157737,31158.57272727272,downtrend
11,1611804900,31087.01,31131.65,31079.84,31131.65,7.29749949,226988.3738,31104.95233,37.587996611531885,31144.53272727272,downtrend
12,1611804960,31119.93,31149.81,31106.06,31144.73,10.2240772,318345.9865,31136.8919,41.586258087967074,31137.981818181812,downtrend
13,1611805020,31144.73,31163.47,31091.24,31130.28,18.05410085,562409.4881,31151.342999999997,38.554492277572926,31128.45636363636,downtrend
14,1611805080,31138.38,31138.38,31077.05,31112.11,24.19146154,752837.7225,31119.97683,34.990471911284175,31119.19,downtrend
15,1611805140,31123.79,31163.64,31116.69,31132.72,7.57567408,235898.875,31138.994689999996,41.77409894006086,31116.009090909083,downtrend
16,1611805200,31133.95,31150.05,31093.3,31132.89,11.44610351,356291.7179,31127.773530000002,41.82972963061777,31114.6109090909,downtrend
17,1611805260,31142.18,31185.38,31138.15,31177.76,5.76049985,179476.9683,31156.49215,54.56145559122365,31118.592727272717,uptrend
18,1611805320,31179.27,31220.02,31166.03,31212.1,18.50332577,577109.6124,31189.5072,61.691372993701236,31129.269999999986,uptrend
19,1611805380,31212.1,31269.99,31212.1,31250.43,8.25457797,257899.8243,31243.247710000003,67.93199706338552,31143.71727272726,uptrend
20,1611805440,31250.43,31256.37,31233.36,31249.28,7.57299188,236641.8934,31248.13774,67.56507803974968,31161.459090909073,uptrend
21,1611805500,31249.05,31407.34,31248.86,31405.37,16.9132682,530307.8318,31354.545169999998,82.12532482938559,31189.029090909076,uptrend
22,1611805560,31384.5,31476.9,31364.56,31461.92,34.81777063,1093840.294,31416.1497,84.86101898357516,31219.053636363617,uptrend
23,1611805620,31443.08,31520.55,31423.83,31520.55,24.14269612,759799.3690000001,31471.18968,87.13009702226438,31253.21909090907,uptrend
24,1611805680,31520.55,31539.0,31490.71,31525.0,57.79355585,1821942.711,31525.01493,87.2907432561375,31289.102727272708,uptrend
25,1611805740,31535.58,31580.0,31499.7,31567.58,30.19108858,952145.5734,31537.30515,88.77976295884179,31330.509090909072,uptrend
26,1611805800,31537.93,31555.44,31519.87,31527.73,15.07051911,475163.0295,31529.307389999998,79.13821628791885,31366.41909090907,uptrend
27,1611805860,31515.69,31547.64,31498.71,31540.0,41.90970611,1321668.868,31536.10442,79.88555007060687,31403.429090909067,uptrend
28,1611805920,31540.0,31596.24,31540.0,31591.68,35.06873309,1107192.221,31572.06216,82.77353416015785,31441.058181818156,uptrend
29,1611805980,31591.84,31591.84,31476.2,31508.61,26.52490952,836885.1471,31550.9143,65.8800338048937,31468.013636363612,uptrend
30,1611806040,31499.57,31511.88,31468.61,31501.43,14.33534092,451528.7064,31497.591089999998,64.61357907817207,31490.831818181792,uptrend
31,1611806100,31504.43,31506.79,31447.29,31494.05,9.79341365,308398.8537,31490.434760000004,63.22548959106602,31513.083636363608,uptrend
32,1611806160,31492.96,31522.98,31481.25,31515.25,27.27024713,859334.3162,31511.79056,65.58528745118886,31523.072727272698,uptrend
33,1611806220,31516.58,31535.77,31500.31,31524.26,4.60937933,145279.6738,31518.27249,66.59745833101114,31528.739999999976,uptrend
34,1611806280,31520.05,31530.92,31482.59,31506.56,25.69375541,809681.6377,31512.77907,62.58000142689678,31527.468181818156,downtrend
35,1611806340,31510.05,31529.84,31483.42,31505.12,6.99584837,220371.7012,31500.35415,62.240599692980986,31525.660909090886,downtrend
36,1611806400,31508.08,31578.54,31500.89,31502.5,11.70561434,369421.0861,31559.307810000002,61.56558567324156,31519.74454545452,downtrend
37,1611806460,31510.95,31524.17,31453.92,31453.92,28.97787338,912222.6523,31479.97233,50.32187738677638,31513.03454545452,downtrend
38,1611806520,31457.42,31470.14,31406.45,31406.45,5.31397848,167059.1166,31437.672769999997,41.9949010849015,31500.893636363613,downtrend
39,1611806580,31431.1,31486.66,31422.36,31461.5,14.16861625,445899.9757,31470.96144,52.18909789270476,31489.059090909068,downtrend
40,1611806640,31491.12,31651.57,31491.12,31646.48,23.9505634,757338.8384,31620.91955,71.13152505881332,31501.592727272702,uptrend
41,1611806700,31646.72,31677.01,31600.89,31602.57,33.03249013,1045277.8840000001,31643.932389999998,64.40172248924539,31510.787272727248,uptrend
42,1611806760,31558.74,31559.7,31472.98,31501.84,3.7945900000000004,119654.0284,31532.79495,51.888615127783204,31511.495454545435,downtrend
43,1611806820,31492.35,31492.35,31450.0,31450.0,15.01002439,472306.292,31466.0576,46.70003483674652,31505.563636363615,downtrend
44,1611806880,31424.23,31503.66,31424.23,31449.59,4.82943028,151941.1498,31461.50601,46.659034392436084,31498.775454545437,downtrend
45,1611806940,31467.25,31467.25,31422.66,31460.13,12.09477947,380354.4369,31447.819110000004,47.96397198396983,31494.554545454528,downtrend
46,1611807000,31454.95,31464.58,31408.39,31414.99,1.94397401,61106.4869,31433.79829,42.962510233112624,31486.36090909089,downtrend
47,1611807060,31422.17,31434.43,31404.29,31404.29,6.13474579,192757.7756,31420.66228,41.81413287879406,31477.432727272706,downtrend
48,1611807120,31409.8,31451.37,31378.07,31443.92,4.50594338,141510.6133,31405.32434,47.58030074251894,31476.523636363618,uptrend
49,1611807180,31448.04,31448.04,31385.44,31391.65,8.68225956,272738.6323,31413.32396,41.546510091910534,31475.178181818163,downtrend
50,1611807240,31389.88,31405.74,31388.71,31405.74,8.58294174,269486.1765,31397.8802,43.68545509160162,31470.10909090907,downtrend
51,1611807300,31382.9,31397.28,31363.76,31363.76,4.66159377,146255.7281,31374.618919999997,38.96530136352348,31444.407272727254,downtrend
52,1611807360,31361.59,31422.04,31341.67,31407.82,10.51842532,330071.9484,31380.35764,45.79523234687068,31426.70272727271,downtrend
53,1611807420,31407.82,31407.82,31350.73,31365.72,13.17207762,413598.2792,31399.62359,40.93227472943547,31414.328181818164,downtrend
54,1611807480,31382.08,31382.08,31351.09,31378.13,7.19259107,225597.7063,31365.29022,42.917590934233054,31407.79454545453,downtrend
55,1611807540,31364.29,31364.29,31312.83,31352.12,14.36617984,450271.1778,31342.44335,39.802199811693065,31398.933636363618,downtrend
56,1611807600,31338.23,31394.13,31323.92,31355.69,13.23832101,415349.9725,31374.82255,40.461315773744346,31389.439090909073,downtrend
57,1611807660,31352.07,31352.07,31318.9,31343.88,6.49251315,203436.5219,31334.017689999997,38.89591905933261,31382.974545454526,downtrend
58,1611807720,31351.16,31379.24,31328.07,31337.36,10.35602794,324773.9819,31360.863810000003,37.99422908279935,31376.88999999998,downtrend
59,1611807780,31352.1,31353.57,31304.66,31339.18,10.84251313,339763.8588,31336.264460000002,38.43687366534124,31367.368181818165,downtrend
60,1611807840,31332.17,31332.17,31277.56,31277.56,11.1116926,347807.2094,31301.010739999998,30.299765252524068,31356.996363636343,downtrend
61,1611807900,31306.97,31362.82,31305.14,31328.5,22.39764791,701796.9347,31333.51044,41.646779776855794,31349.974545454526,downtrend
62,1611807960,31313.21,31341.32,31313.21,31339.53,9.11924443,285764.5781,31336.43147,43.84616281203516,31347.771818181795,downtrend
63,1611808020,31334.62,31353.79,31311.69,31346.05,6.02936098,188993.7588,31345.57035,45.20267888717498,31342.15636363634,downtrend
64,1611808080,31373.83,31386.25,31301.37,31367.9,6.79910676,213271.6422,31367.5972,49.724976353620235,31342.354545454527,downtrend
65,1611808140,31376.98,31398.57,31346.08,31374.74,17.11849283,537129.4994,31377.14895,51.127865190182064,31342.046363636342,uptrend
